Palabra,Emocion
excelencia,positiva
abiertamente,positiva
tracción,positiva
alegría,positiva
satisfacer,positiva
prefiere,positiva
aplicado,positiva
positivos,positiva
querer,positiva
efectuar,positiva
sagrado,positiva
entusiasmo,positiva
privilegio,positiva
brillo,positiva
ayudado,positiva
dignidad,positiva
trofeo,positiva
innovación,positiva
extraordinario,positiva
auténtico,positiva
reforzar,positiva
sensible,positiva
mágico,positiva
gracia,positiva
romántico,positiva
superioridad,positiva
accesible,positiva
joyas,positiva
curioso,positiva
negociar,positiva
renombrado,positiva
prestigioso,positiva
superó,positiva
decisivo,positiva
moverse,positiva
restaurar,positiva
compatible,positiva
felicidad,positiva
portavoz,positiva
agradable,positiva
fomentar,positiva
convenio,positiva
apropiado,positiva
trabajador,positiva
fluido,positiva
emociones,positiva
dominar,positiva
lógico,positiva
ganancias,positiva
maestría,positiva
fidelidad,positiva
aficionado,positiva
prominente,positiva
orgullo,positiva
inofensivo,positiva
enteramente,positiva
sorprendente,positiva
celeste,positiva
revolucionaria,positiva
protector,positiva
tapa,positiva
indicado,positiva
complemento,positiva
legalmente,positiva
galardón,positiva
admiración,positiva
sostenido,positiva
Magno,positiva
mejorado,positiva
renacimiento,positiva
elegante,positiva
supremo,positiva
promotor,positiva
placer,positiva
prosperidad,positiva
talentos,positiva
listo,positiva
reconocimientos,positiva
revelación,positiva
deber,positiva
resistente,positiva
azar,positiva
dominado,positiva
dotado,positiva
distintivo,positiva
apogeo,positiva
restaurado,positiva
certeza,positiva
exacto,positiva
sostener,positiva
recto,positiva
autónomo,positiva
integridad,positiva
corregir,positiva
domina,positiva
genio,positiva
mérito,positiva
empuje,positiva
ayudando,positiva
agudo,positiva
perdón,positiva
fino,positiva
sonda,positiva
racional,positiva
enamorada,positiva
amanecer,positiva
alegre,positiva
perfección,positiva
novedad,positiva
ilustración,positiva
cumplido,positiva
impulsar,positiva
hermoso,positiva
aclarar,positiva
ilustre,positiva
claridad,positiva
sabiduría,positiva
distinguido,positiva
divino,positiva
mono,positiva
solidaridad,positiva
facilita,positiva
amo,positiva
legítimo,positiva
libertades,positiva
cariño,positiva
garantía,positiva
animado,positiva
bello,positiva
penetración,positiva
creativo,positiva
práctico,positiva
educado,positiva
sabio,positiva
leal,positiva
renovado,positiva
balas,positiva
gratuito,positiva
delgado,positiva
inocente,positiva
heroína,positiva
ambicioso,positiva
ingenio,positiva
calificado,positiva
merced,positiva
afecto,positiva
premiado,positiva
bienvenida,positiva
fértil,positiva
probado,positiva
flexible,positiva
ahorro,positiva
informativo,positiva
super,positiva
basta,positiva
satisfacción,positiva
dinámico,positiva
justamente,positiva
recomendación,positiva
marchar,positiva
emoción,positiva
valioso,positiva
respetar,positiva
gustos,positiva
ídolo,positiva
sostenible,positiva
diversión,positiva
favorecer,positiva
prometido,positiva
tranquilidad,positiva
entendido,positiva
valiente,positiva
agradecimiento,positiva
aprobar,positiva
cargado,positiva
resuelto,positiva
amable,positiva
garantías,positiva
promesas,positiva
creativa,positiva
transparente,positiva
suceder,positiva
recomendaciones,positiva
paraíso,positiva
tranquilo,positiva
elevar,positiva
preferencias,positiva
milagro,positiva
trompeta,positiva
pastel,positiva
afinidad,positiva
preferido,positiva
innovador,positiva
fiable,positiva
reclamar,positiva
curar,positiva
restablecer,positiva
afán,positiva
reestructuración,positiva
patriota,positiva
digno,positiva
floración,positiva
aspiraciones,positiva
calma,positiva
gradual,positiva
estímulo,positiva
bonus,positiva
modesto,positiva
remedio,positiva
autorizado,positiva
inmenso,positiva
originalidad,positiva
crianza,positiva
limpiar,positiva
portátil,positiva
flexibilidad,positiva
profundidades,positiva
razonable,positiva
consorcio,positiva
conveniencia,positiva
adoración,positiva
hábil,positiva
poético,positiva
energético,positiva
magnífico,positiva
colorido,positiva
gratis,positiva
productiva,positiva
firmemente,positiva
erudito,positiva
recomendable,positiva
fantástico,positiva
lírico,positiva
aclamado,positiva
ganancia,positiva
progresista,positiva
maduro,positiva
coherente,positiva
afluencia,positiva
piedad,positiva
exitosamente,positiva
supremacía,positiva
impresionado,positiva
cooperativa,positiva
prestación,positiva
competitivo,positiva
prendas,positiva
apreciado,positiva
sobresaliente,positiva
rosado,positiva
productivo,positiva
limpio,positiva
amada,positiva
íntimo,positiva
divertido,positiva
mejoramiento,positiva
sumo,positiva
bendición,positiva
seguidor,positiva
asegurando,positiva
disminuido,positiva
indiscutible,positiva
love,positiva
descansar,positiva
profecía,positiva
pacífico,positiva
disfruta,positiva
aliviar,positiva
sustancial,positiva
valentía,positiva
sustento,positiva
milagros,positiva
comodidad,positiva
entusiasta,positiva
destreza,positiva
acoger,positiva
reconciliación,positiva
cláusula,positiva
acreditado,positiva
curación,positiva
boom,positiva
cuadra,positiva
obsesión,positiva
palanca,positiva
perpendicular,positiva
memorable,positiva
motivado,positiva
reformar,positiva
prenda,positiva
multa,positiva
victorioso,positiva
prolífico,positiva
liderar,positiva
liso,positiva
joya,positiva
amado,positiva
revivir,positiva
veracidad,positiva
sustantivo,positiva
óptimo,positiva
reformado,positiva
grandeza,positiva
elegancia,positiva
humorístico,positiva
barato,positiva
estimular,positiva
amoroso,positiva
sonrisa,positiva
confiar,positiva
sensaciones,positiva
alba,positiva
simplificado,positiva
genial,positiva
excepcionalmente,positiva
paciencia,positiva
sano,positiva
amar,positiva
recomendado,positiva
óptima,positiva
asegurado,positiva
maravilloso,positiva
surrealista,positiva
orgulloso,positiva
apasionado,positiva
superviviente,positiva
triunfal,positiva
coraje,positiva
sobreviviente,positiva
competente,positiva
apelación,positiva
actualizado,positiva
aspiración,positiva
maravillas,positiva
abogada,positiva
calificar,positiva
robusto,positiva
favorecido,positiva
compacta,positiva
satisfecho,positiva
coherencia,positiva
devolución,positiva
provecho,positiva
aspirante,positiva
admirador,positiva
triunfar,positiva
trance,positiva
festivo,positiva
previsión,positiva
cómodo,positiva
like,positiva
suprema,positiva
valorar,positiva
navegable,positiva
best,positiva
sencillamente,positiva
agilidad,positiva
consecuentemente,positiva
ordenanza,positiva
ágil,positiva
disfrute,positiva
solid,positiva
versatilidad,positiva
bondad,positiva
carisma,positiva
free,positiva
medido,positiva
privilegiado,positiva
oasis,positiva
res,positiva
susceptible,positiva
trascendental,positiva
facilitando,positiva
sorprendentemente,positiva
bovino,positiva
enmienda,positiva
enriquecimiento,positiva
alivio,positiva
animar,positiva
progresos,positiva
guiar,positiva
ahorros,positiva
futurista,positiva
agrado,positiva
abrazo,positiva
bonito,positiva
honrar,positiva
formidable,positiva
honrado,positiva
oportuno,positiva
finamente,positiva
admirar,positiva
intimidad,positiva
ardiente,positiva
eminente,positiva
elite,positiva
aventurero,positiva
extraordinariamente,positiva
súper,positiva
subsiguiente,positiva
confiable,positiva
constructivo,positiva
preferible,positiva
complementar,positiva
refinado,positiva
generosidad,positiva
saludable,positiva
distinguirse,positiva
contento,positiva
factible,positiva
manada,positiva
sobrepasar,positiva
optimista,positiva
exento,positiva
moralidad,positiva
exuberante,positiva
propicio,positiva
luminoso,positiva
máster,positiva
excitación,positiva
caluroso,positiva
generoso,positiva
fielmente,positiva
devoto,positiva
versátil,positiva
virtuoso,positiva
buey,positiva
cortesía,positiva
gratitud,positiva
fervor,positiva
encender,positiva
borra,positiva
profusamente,positiva
disolvente,positiva
eternidad,positiva
preventiva,positiva
heroico,positiva
articular,positiva
prometedor,positiva
sensual,positiva
asombro,positiva
humildad,positiva
acierto,positiva
intriga,positiva
sofisticado,positiva
articulado,positiva
calmar,positiva
complementos,positiva
apreciable,positiva
sensiblemente,positiva
ajustado,positiva
instantáneamente,positiva
apego,positiva
prudente,positiva
estimula,positiva
afección,positiva
exaltación,positiva
abunda,positiva
pintoresco,positiva
perfeccionar,positiva
próspero,positiva
emocionante,positiva
estabilizar,positiva
cordial,positiva
madurar,positiva
celestial,positiva
satisface,positiva
alcohólico,positiva
curado,positiva
sexy,positiva
gozar,positiva
fascinación,positiva
ferviente,positiva
lujoso,positiva
escénico,positiva
inoxidable,positiva
triunfante,positiva
suavemente,positiva
prefiriendo,positiva
equilibrado,positiva
increíblemente,positiva
deseable,positiva
floreciente,positiva
simplificar,positiva
calentar,positiva
tremendamente,positiva
honestidad,positiva
sostenibilidad,positiva
eficazmente,positiva
espontáneo,positiva
complementario,positiva
inolvidable,positiva
diestro,positiva
disfrutando,positiva
respetable,positiva
encantado,positiva
superintendente,positiva
amistosa,positiva
mejoría,positiva
refinamiento,positiva
optimismo,positiva
selectivo,positiva
alabanza,positiva
redención,positiva
talentoso,positiva
prudencia,positiva
precioso,positiva
ayuno,positiva
simpático,positiva
diana,positiva
convincente,positiva
vigilante,positiva
amigable,positiva
aclamación,positiva
adelantar,positiva
pacíficamente,positiva
admirable,positiva
misericordia,positiva
impecable,positiva
conciliar,positiva
indudable,positiva
convenientemente,positiva
rapto,positiva
aspirar,positiva
maravilla,positiva
consuelo,positiva
prodigio,positiva
suposición,positiva
master,positiva
excede,positiva
indulto,positiva
heredar,positiva
exhaustivo,positiva
benéfico,positiva
satisfactoriamente,positiva
honesto,positiva
vibrante,positiva
elogio,positiva
uniformemente,positiva
coronar,positiva
agradecido,positiva
carismático,positiva
honorable,positiva
enérgico,positiva
tenaz,positiva
merecedor,positiva
estimulante,positiva
auspicio,positiva
prominencia,positiva
patriótico,positiva
florecer,positiva
consumado,positiva
expresivo,positiva
sustentación,positiva
fragilidad,positiva
ingenioso,positiva
ricamente,positiva
cofre,positiva
beneficioso,positiva
confidente,positiva
éxtasis,positiva
respaldar,positiva
progresar,positiva
profusión,positiva
gracioso,positiva
benefactor,positiva
premiar,positiva
cooperativo,positiva
glorioso,positiva
caramelo,positiva
empujar,positiva
fascinante,positiva
invencible,positiva
ilimitado,positiva
permitirse,positiva
comprensible,positiva
majestad,positiva
deseando,positiva
milagrosamente,positiva
afortunadamente,positiva
atento,positiva
pera,positiva
sincero,positiva
sublime,positiva
razonablemente,positiva
satisfactorio,positiva
empatía,positiva
exquisito,positiva
silencioso,positiva
agradecer,positiva
obertura,positiva
nata,positiva
emprendedor,positiva
autorizar,positiva
serenidad,positiva
festejar,positiva
diligencia,positiva
guapo,positiva
librar,positiva
iluminar,positiva
predilecto,positiva
enriquecer,positiva
prosperar,positiva
decente,positiva
pulido,positiva
sustentar,positiva
genuino,positiva
felizmente,positiva
vocero,positiva
hot,positiva
beneficiar,positiva
salvador,positiva
impresionar,positiva
resplandor,positiva
creíble,positiva
atrevido,positiva
estilizado,positiva
venia,positiva
sinceridad,positiva
luchadora,positiva
hospitalario,positiva
hábilmente,positiva
tierno,positiva
benigno,positiva
radiante,positiva
galán,positiva
eficientemente,positiva
euforia,positiva
sinceramente,positiva
imparcial,positiva
majestuoso,positiva
apacible,positiva
grandioso,positiva
fair,positiva
alentar,positiva
work,positiva
exceder,positiva
condimento,positiva
cómodamente,positiva
lindo,positiva
adivinación,positiva
espléndido,positiva
minucioso,positiva
apoyarse,positiva
preferiblemente,positiva
afortunado,positiva
elocuencia,positiva
premier,positiva
disfrutado,positiva
entretener,positiva
minuciosamente,positiva
ventilador,positiva
lucir,positiva
amabilidad,positiva
solvencia,positiva
revive,positiva
despejar,positiva
brillantez,positiva
brillar,positiva
tender,positiva
personalizado,positiva
sancionar,positiva
abrazar,positiva
verificable,positiva
recomendar,positiva
preferir,positiva
good,positiva
complementado,positiva
cabezal,positiva
regio,positiva
apuesto,positiva
vivaz,positiva
delicadeza,positiva
peluche,positiva
felicitaciones,positiva
taquillera,positiva
agrada,positiva
apelar,positiva
encantador,positiva
grand,positiva
adivinar,positiva
visionario,positiva
asombroso,positiva
ovación,positiva
establo,positiva
inspirar,positiva
preguntarse,positiva
bonificación,positiva
dulzura,positiva
entrañable,positiva
cortés,positiva
respetuoso,positiva
intuitivo,positiva
granizo,positiva
cenit,positiva
asequible,positiva
lucrativo,positiva
prometedora,positiva
confidencial,positiva
meritorio,positiva
fructífero,positiva
adorar,positiva
revitalizar,positiva
inspirador,positiva
reafirmar,positiva
júbilo,positiva
imparcialidad,positiva
guapa,positiva
esclarecer,positiva
elocuente,positiva
adorado,positiva
relajado,positiva
modestia,positiva
diversificado,positiva
triunfador,positiva
perseverancia,positiva
saludar,positiva
sanar,positiva
brisa,positiva
reverencia,positiva
remediar,positiva
cariñoso,positiva
acaudalado,positiva
irresistible,positiva
francamente,positiva
beato,positiva
emocionado,positiva
simplifica,positiva
rematar,positiva
razonar,positiva
poderosamente,positiva
well,positiva
convencimiento,positiva
purificar,positiva
morder,positiva
vencimiento,positiva
motivar,positiva
cereza,positiva
respiro,positiva
beneficiario,positiva
remisión,positiva
afilado,positiva
ración,positiva
prometer,positiva
complacer,positiva
ávido,positiva
despejado,positiva
elitista,positiva
calmado,positiva
rectificación,positiva
comprimir,positiva
stable,positiva
retráctil,positiva
confortable,positiva
alzar,positiva
inexpugnable,positiva
entretenido,positiva
puntiagudo,positiva
amablemente,positiva
irreal,positiva
fabuloso,positiva
milagroso,positiva
ansia,positiva
trascender,positiva
refrescante,positiva
incitar,positiva
honradez,positiva
esbelto,positiva
bravo,positiva
radiador,positiva
pináculo,positiva
destello,positiva
adinerado,positiva
altruista,positiva
suavizar,positiva
crujiente,positiva
feat,positiva
exaltado,positiva
soft,positiva
desprendido,positiva
aurora,positiva
gozo,positiva
seductor,positiva
realzar,positiva
durazno,positiva
laudo,positiva
bienvenido,positiva
protuberancia,positiva
sobresalir,positiva
esmero,positiva
ventajoso,positiva
tallar,positiva
inventiva,positiva
veraz,positiva
firmamento,positiva
venerar,positiva
utilizable,positiva
sensacional,positiva
brillantemente,positiva
alabando,positiva
excitado,positiva
cool,positiva
sonriente,positiva
deleite,positiva
curarse,positiva
resguardado,positiva
estupendo,positiva
desmontar,positiva
valientemente,positiva
hermosura,positiva
generosamente,positiva
delicioso,positiva
súpero,positiva
talentosa,positiva
felicitación,positiva
certero,positiva
adaptable,positiva
legible,positiva
inquebrantable,positiva
entusiasmado,positiva
legítimamente,positiva
bondadoso,positiva
clarificar,positiva
magnificencia,positiva
armonizar,positiva
presagio,positiva
decretar,positiva
callado,positiva
eminencia,positiva
laborioso,positiva
impresionada,positiva
garante,positiva
revival,positiva
inteligible,positiva
reestructurar,positiva
manjar,positiva
angel,positiva
ventiladores,positiva
melocotón,positiva
trompo,positiva
sociable,positiva
intrigante,positiva
consistentemente,positiva
recompensar,positiva
absorbente,positiva
dócil,positiva
asombrado,positiva
benevolencia,positiva
respalda,positiva
providencia,positiva
realce,positiva
merecer,positiva
inestimable,positiva
incuestionable,positiva
alegremente,positiva
won,positiva
nitidez,positiva
callar,positiva
apasionadamente,positiva
deslumbrante,positiva
regocijo,positiva
afable,positiva
audible,positiva
suntuoso,positiva
indulgencia,positiva
gustar,positiva
gold,positiva
manejable,positiva
seducido,positiva
panorámico,positiva
despuntar,positiva
fraternal,positiva
obediente,positiva
bendecir,positiva
acomodado,positiva
infalible,positiva
rectificar,positiva
perdurable,positiva
florido,positiva
fideicomiso,positiva
consumar,positiva
conllevar,positiva
sólidamente,positiva
impresiona,positiva
heroicamente,positiva
galante,positiva
valeroso,positiva
felicitar,positiva
refinar,positiva
adorable,positiva
tapadera,positiva
incondicionalmente,positiva
envidiable,positiva
embellecer,positiva
acogedor,positiva
preeminente,positiva
palaciego,positiva
lean,positiva
idealmente,positiva
estirar,positiva
inequívocamente,positiva
equitativo,positiva
adueñarse,positiva
conmovedor,positiva
intrincado,positiva
bellamente,positiva
great,positiva
obsesiones,positiva
radioactivo,positiva
bienvenidos,positiva
imaginativo,positiva
franqueza,positiva
osado,positiva
exaltar,positiva
recio,positiva
lustre,positiva
grato,positiva
ajustable,positiva
portable,positiva
led,positiva
invulnerable,positiva
camote,positiva
quieto,positiva
prodigioso,positiva
pegadizo,positiva
exuberancia,positiva
meticulosamente,positiva
espacioso,positiva
conciliador,positiva
adaptativo,positiva
fermentar,positiva
fenomenal,positiva
pródigo,positiva
equitativamente,positiva
termonuclear,positiva
jovial,positiva
alabar,positiva
espectacularmente,positiva
conciso,positiva
simplificando,positiva
armonioso,positiva
resplandeciente,positiva
delicia,positiva
angelical,positiva
meticuloso,positiva
idol,positiva
ready,positiva
aplazar,positiva
desmontable,positiva
receptivo,positiva
sensato,positiva
lúcido,positiva
amortización,positiva
terminantemente,positiva
rebasar,positiva
admiradora,positiva
incisivo,positiva
magníficamente,positiva
fast,positiva
survival,positiva
bonificaciones,positiva
complacido,positiva
afectuoso,positiva
sabroso,positiva
better,positiva
augurio,positiva
provechoso,positiva
decencia,positiva
abogar,positiva
support,positiva
adjudicar,positiva
saborear,positiva
idílico,positiva
sabiamente,positiva
pacientemente,positiva
happy,positiva
enhorabuena,positiva
espaldarazo,positiva
grácil,positiva
intrépido,positiva
metódico,positiva
placentero,positiva
juguetón,positiva
divertir,positiva
complacencia,positiva
expansivo,positiva
entendible,positiva
atrevimiento,positiva
tranquilizar,positiva
amistosamente,positiva
agraciado,positiva
important,positiva
elegantemente,positiva
works,positiva
revolucionar,positiva
modern,positiva
lucio,positiva
fun,positiva
sagaz,positiva
reintegrado,positiva
maravillosamente,positiva
afirmativo,positiva
maniobrable,positiva
estabilizarse,positiva
refrescar,positiva
deferencia,positiva
compasivo,positiva
tentar,positiva
progressive,positiva
masters,positiva
imbatible,positiva
encendedor,positiva
brillando,positiva
pudiente,positiva
caballeresco,positiva
ahínco,positiva
vencejo,positiva
subvencionado,positiva
redimir,positiva
excitar,positiva
excedido,positiva
sweet,positiva
sonreír,positiva
cortejar,positiva
caballerosidad,positiva
adelantamiento,positiva
sonrisas,positiva
espumoso,positiva
lead,positiva
infalibilidad,positiva
románticamente,positiva
caritativo,positiva
empoderamiento,positiva
redentor,positiva
inequívoco,positiva
gratificación,positiva
prosperando,positiva
sosiego,positiva
regulable,positiva
gratificante,positiva
evocador,positiva
glorificar,positiva
reembolso,positiva
razonado,positiva
limpiador,positiva
enderezar,positiva
invaluable,positiva
hilarante,positiva
perspicaz,positiva
geek,positiva
entretiene,positiva
easy,positiva
consolar,positiva
avalar,positiva
indulgente,positiva
avidez,positiva
magro,positiva
loable,positiva
asombrosamente,positiva
diligente,positiva
golosina,positiva
inteligentemente,positiva
honrando,positiva
retocar,positiva
endeudado,positiva
reestructurado,positiva
individualizado,positiva
franquear,positiva
cure,positiva
trust,positiva
talent,positiva
alcanzable,positiva
excita,positiva
cuantioso,positiva
revolucionado,positiva
respetuosamente,positiva
available,positiva
fragante,positiva
instructivo,positiva
benévolo,positiva
enough,positiva
durable,positiva
saint,positiva
excelentemente,positiva
elogiar,positiva
pros,positiva
fiduciario,positiva
fanfarria,positiva
ofertar,positiva
servicial,positiva
reanimar,positiva
mechero,positiva
certidumbre,positiva
adorando,positiva
perspicacia,positiva
nutrir,positiva
esperanzador,positiva
encomiable,positiva
cautivar,positiva
fine,positiva
atestiguar,positiva
afectuosamente,positiva
fiar,positiva
award,positiva
apuntalar,positiva
strong,positiva
afirmativamente,positiva
advanced,positiva
admirablemente,positiva
nítido,positiva
gustoso,positiva
calurosamente,positiva
barriendo,positiva
ardientemente,positiva
aleteo,positiva
perfect,positiva
peonza,positiva
felpa,positiva
sentenciar,positiva
privilegiar,positiva
efusión,positiva
win,positiva
magic,positiva
lustroso,positiva
aplaudir,positiva
alentador,positiva
razonada,positiva
dulcemente,positiva
cuerdo,positiva
ganga,positiva
tolerable,positiva
clear,positiva
misericordioso,positiva
beautiful,positiva
ponderar,positiva
pensativo,positiva
alistar,positiva
aclararse,positiva
permisible,positiva
limpiamente,positiva
vívido,positiva
atónito,positiva
melodioso,positiva
exquisitamente,positiva
armoniosamente,positiva
prudentemente,positiva
ondear,positiva
chic,positiva
subvencionar,positiva
pum,positiva
en,negativa
para,negativa
sin,negativa
tiempo,negativa
bajo,negativa
varios,negativa
tipo,negativa
largo,negativa
solo,negativa
muerte,negativa
tierra,negativa
carrera,negativa
casi,negativa
pesar,negativa
mucho,negativa
puesto,negativa
color,negativa
mar,negativa
resto,negativa
discusión,negativa
paso,negativa
alto,negativa
problemas,negativa
situación,negativa
pequeño,negativa
aproximadamente,negativa
dado,negativa
lucha,negativa
interés,negativa
sitio,negativa
división,negativa
niños,negativa
ataque,negativa
baja,negativa
aire,negativa
restos,negativa
canal,negativa
pasado,negativa
falta,negativa
problema,negativa
evitar,negativa
puerto,negativa
propiedad,negativa
piedra,negativa
objeto,negativa
negro,negativa
jugar,negativa
mal,negativa
ir,negativa
usado,negativa
corte,negativa
crítica,negativa
enfermedad,negativa
inferior,negativa
verde,negativa
crisis,negativa
terreno,negativa
contrario,negativa
conflicto,negativa
resistencia,negativa
carga,negativa
regreso,negativa
pobreza,negativa
dejar,negativa
oposición,negativa
caída,negativa
apenas,negativa
corriente,negativa
límite,negativa
pérdida,negativa
golpe,negativa
ataques,negativa
muerto,negativa
corto,negativa
cambiar,negativa
plano,negativa
recibir,negativa
invasión,negativa
entrega,negativa
accidente,negativa
duda,negativa
enorme,negativa
límites,negativa
enemigo,negativa
ficción,negativa
asesinato,negativa
muertos,negativa
batería,negativa
enemigos,negativa
peligro,negativa
prisión,negativa
solar,negativa
riesgo,negativa
abandonar,negativa
cuestión,negativa
particularmente,negativa
perdido,negativa
error,negativa
tocar,negativa
